text,label
钼已成粥,中性
补仓补的心力憔悴,消极
紫金矿业也是，40个点的前一天清了仓，请叫我接盘侠,中性
主力太傻B了，每天跌这么点谁割啊，你好歹弄5个跌停洗一下嘛,消极
明天大概率平盘，必竞应有说法！,中性
.3.29增发价是原始股，你们知道吗最少要十倍,积极
今天入住，第一次拥抱抱团股，希望这次转变能有所收获,积极
又要动作了，小康就是两市隐藏的龙头,积极
一季报预报什么时候发出来的,中性
真奇怪？老耿疯狂屯地。他怎么就不担心房地产债务危机吗？,中性
新人报到，看了这么多人在这么低位努力唱空，放心了。,积极
我感觉明天中微可以买进了，要砸就快点砸，,消极
你也该启动了，两会就要开了。,积极
干到满仓国盛为止。,积极
中航沈飞必上100。只要沈飞上了100光起上50，应该是毫无悬念。,积极
看着几位大咖在22.8玩游戏不亦乐呼,积极
听我号令，继续加仓，十倍大牛股走起,积极
出不完货,中性
都怪哈B又买入。,消极
极品垃圾,消极
尾盘抢筹码，明天无忧,积极
有，套深了,消极
龙头不到，四方来朝!,中性
公司为宁德时代、比亚迪金牌供应商,积极
不会吧，又来虎头蛇尾虚晃一招？,中性
大家拆今晚公告回购没有？我猜没有开始回购,中性
今天半年线终于跌破，主力终于拿下面具做人了！,消极
疫情当前研究疫苗的股不涨，酒类奶类等消费品创新高天理何在？,中性
快撑不住了,中性
辛时代=辛能源=辛（酉）=酒——各种酒各种金属,中性
豫园股份大豪科技，阖家欢乐耐心等待，3倍,积极
还有2天就要公布st了,中性
中金环境账面非流动负债2019较2018多出8个多亿，为什么呢？,中性
"""定投开始,今日10.9建仓1000,以后每下跌5毛即刻加仓1千股,低于8元,加倍加仓""",积极
"""机构重仓,股权激励,量子通信,5G概念,无人驾驶,国产芯片,股权转让,创业板综,航天概念！""",积极
跌无可跌了，还要磨吗？呆庄。,积极
招商南油股东户数下降3.51%，户均持股16.9万元,中性
90℃直上。我来看什么时候飞天,积极
彻底没希望了，都早点割了吧，可能破12,消极
主力洗牌吸筹！明天拉升！,积极
晃他，使劲晃，,中性
平台磨合期……没大利好还是得磨！疫情前几年也就12到14之间为主区间。没其它大利好，吉祥还得磨,消极
公司积极扩充手机玻璃盖板产能，迎接5G手机换机潮。,积极
康美注定退市破产索赔，很快完蛋！,消极
以前的众泰你爱理不理，以后的众泰你高攀不起,积极
国家说今天下午你要涨停,积极
玻璃红了，光伏红了，天然气红了，他跟河南板块哈哈啊,积极
钓鱼线出货？,消极
早就说过了此股远没有到位，割小肉保大肉，留得青山在不怕没柴烧,积极
昨晚在美国上市的新疆股大全新能源又创新高，每的73.5美元,积极
明天可能突破百元了，提前恭喜华友集团了、,积极
3.15很神奇，最近几天都在3.15附近,中性
谁知道封板好还是不封板好?,积极
雅化集团k形图参考智慧农业。我是新手,中性
产品结构和客户结构，长期看好,积极
7.76全仓入，我就等涨停板,积极
一落千丈,消极
贾跃亭造车,中性
这公司质地比东方电缆差远了，但是资金现在确实在入驻这个，东方却一直在减仓。先拿着吧。长期价值投，想买配电板块建议东方，,积极
求教各位大神，这么多零首成交什么意思？,中性
疯牛来了,积极
都是看多，要跌了,消极
盘中买什么？,中性
新手韭菜问一下涨停不是10%吗，为什么这个不到5%就是涨停了,积极
z折腾吧，老子锁仓了，满仓睡觉了，哈哈,积极
喜迎牛市第一板,积极
逃命去吧,消极
14.2成本，越补越低,消极
最后的强洗，多久能翻倍？,中性
今天洗完收红吧,积极
目标4.66，黄金缺口，上攻,积极
最近股东人数明显减少，肯定有行情，时间长短而已,中性
游族无敌了！三七加油啊，洗得差不多了,积极
8元以下，今天后再也见不到英唐了！,积极
太钢不锈用于高端手机电视航空航天领域,积极
5.1建仓，等你成长。,积极
静待放量下跌，哈哈哈哈,消极
12寸晶圆大厂联华电子要涨价,积极
广东省批准斗门建千亿级智能制造经济开发区.对大量廉价土地储备在斗门的世荣兆叶应该是一个特大利好吧？,中性
中环股份混改落地，大股东变位TCL！,积极
如果明天突破前高的仙人指路38.65，接下来就一马平川了，今天刚进，希望能吃到肉,中性
只好期待特锐德20CM涨停，把万马带红,积极
葫芦七兄弟。一个兄弟一个板。,积极
56买的满仓，54给割了买你一次赔一次！,消极
牛逼的操盘，又吓走了一批人,消极
这票依旧是老样子！别说所属板块涨它绿，就是全世界都红这货都是走跌，太了解东方园林这黑股了，烂事一大堆,消极
越秀金控天天阴跌，产生垃圾股，是不公司出现问题。,消极
没事干了去养养生，百元神州加油哦,积极
星期一星期二！反复提示！13以上阶段卖出！今天最后提示14点30分看看时间跟价格！！相对主力诱多拉高的最高点！,消极
我在25等你,中性
三一全球化提速以后估值水平有望超越CAT，目前几项指标己超越CAT，未来有上升空间的就是海外市占率了，三一加油！,积极
战略性，系统性，方向性，连续性，批量性建仓正式开始，不理指数升跌，只看价格，100万股准备！,积极
加仓干它,积极
金枫，不会发疯。拿好，后会金枫。别慌，持有胜利。别卖，坚持回本。,积极
下周完美股价必定超过三七，今年市值超过三七，立贴为证！,消极
雨虹北新建材双龙头同创历史新高，鼓掌！,积极
上次增发后跌成了，不知道这次怎么样,消极
扶稳坐好！,积极
这个分红算把人们栓住了,中性
就凭大麻子，就应该涨停，对不对？,积极
今天31买的，吃个反弹就走，问题不大,积极
我快坚持不住了，有人给我心里按摩一下吗？,中性
墨龙真的是不行，麻木不仁的仁东都快翻倍了,积极
开始套路了,消极
安洁科技的新厂房可以由中铁装配承建,积极
继续看好我大西安金融股，今年我大西安金融股要赚到爆，看西部证券已经起飞了,积极
一季度亏损6个亿，是真的吗,消极
今天的走势很健康，洗洗盘是必要的，随时会再次起飞！,积极
现在股东户数还是去年9月30日的数据？为啥不干活呢？,中性
明天打算满仓电广,积极
继续加仓600手，不信不涨跌了一年，跌久不涨的道理我想大家都懂,积极
主力不要急，15我已经全仓了！要再震震,消极
跌的好，我42.68逃顶了，哈哈哈哈哈哈哈哈哈哈哈哈,消极
东风汽车哪天可以创业板挂牌,中性
底部放量，必有果只做参考,中性
连续几天了，今天可以买入了，看好一二月行情，中美贸易好转，上海国企改革混改，浦东引领区上海自贸港出台，今天最后买入机会,积极
一支穿云箭，千军万马来相见,积极
庄家在出货，千万不要买,消极
你大哥中科创达飙新高了，你努力呀，,积极
今晚肯定公告,中性
新庄没有意料到汇率开始贬值了吧？免税概念启动,积极
11.29的成本30000股，12元买的多，跌下来加仓，成本搞下来8毛，现在能加仓吗？,积极
佳士科技2021请不负股民期待大胆朝上努力加油,积极
烂橙快减持啊，求你了，你不走这把剑悬着没人敢进啊,消极
今天有戏看启稳再动手,积极
抄底吗？,消极
再捅一次就可以了！,中性
..........,中性
看看美的两个格力的市值！,积极
哪个兄弟发一下排单,中性
重仓买入明天涨停,积极
旅客同志们，开往火星的列车准备起飞，没上车的抓紧上车,积极
几元甚至十几元/股就跑了，有点急躁。格局放大一点，重整→去星揭帽都是亮点！,中性
以高度控盘，即将一飞冲天,积极
美股估值150倍，隆基目标500,积极
血茅，筑底基础牢，直破前期新高！,积极
快买北方华创，国内第一龙头就是龙头，不玩龙头没出路！,积极
庄家这是要逼4.5以上的股民退场，此股废了,消极
又跌成这个B样。。。,消极
回撤4.99,消极
这股真不行…,消极
季报肯定亮眼。,中性
大数据是可以追踪ip的，可以锁定ip分析，你可以先收集，然后整理，快递给证监会，有这方面的朋友你可以试试，已经有成功的案例了,积极
永远是忽悠公司下周双底没搞,消极
长城汽车真的要奔着20去了港股才27,中性
烂的跟一样涨一天跌一个星期,消极
今天早盘升了，明天大跌大买吧。,消极
康美，唯一一只不怎么坑股民的股票！！,积极
最近不会涨，可能还要小跌，清仓的可以了，到100时可以放心的买了,消极
年净利润90亿元以上的荣盛发展总市值比亏损60-80亿元的海航基础还低，这是什么股市？,中性
在不拉就停牌了，,消极
干下去，二王爆仓，华谊重生,积极
环环要起飞了吗？,积极
初心不改，坚如磐石。鹰击长空，风华正茂。下一牛股证通是也。,积极
快跑，马上绿！这波估计奔100去了,消极
上影线尽管玩吧！那天就是大鹏扶摇直上九万里……,积极
不会惊喜，只会惊吓，哈哈,消极
了，早上挂单没走反亏3个点,消极
下周必有涨停板,积极
一如既往的跌，感觉有一只手在操纵，从上个月跌到这个月，一点悬链都没有,消极
做t的真恶心,消极
不要丧尽天良啊，散户也要活啊,消极
比茅台还牛逼，牛逼,积极
踏空了，5号就一直看你,中性
谢谢助理6.2又上车4000手,积极
这个，直接熊了,消极
不用看都可以猜到，业绩已经被主力提前知道了，后期还是看好它，只是短期散户太多，业绩不好，股价难以体现出来,积极
给韭菜浇水施肥了,中性
学习一下你爸爸歌尔股份，学习一下你爷爷立讯精密吧，红一下,积极
业绩都不敢预告，四季度业绩拉稀，一个垄断行业，居然这么差，该反思一下了，王晓初难逃其责。,消极
40有那么难？傻庄,中性
我曹低开这么多我曹低开这么多,消极
北斗的信号老断，是真的吗？,中性
这年头谁会花钱买个电视来看呢，各位爷,中性
什么叫一股难求，每天开盘即是收盘，这种感觉，比中新股还爽！空军软硬兼施，就是抢不到一股！烽哥的号令，太强大，太让散户振奋了！,中性
前面我打板进的一百手风吹着真凉快,消极
真垃圾呀，又是大数据、又是新能源、又是5G坑逼呀，真是弱爆了～,消极
元明控股左手倒右手打压股价，先出再低位捡便宜货。,消极
还有没有中签一直持有的,中性
为什么都说定增是利空啊,消极
72入驻隆基，高点76.9没出，一路下跌至62元，如今执着的守候终于换来了丰厚的回报，加油隆基！天空才是你的尽头,积极
这只股，散户不要去看盘的，收盘看下价格就行了，一直盯着盘面会忍不住交出筹码,中性
爱施德股吧里好多的托啊，得注意点安全控制好仓位跟主力耗下去，千万别满仓，主力打压下来有子弹补仓,消极
倒数第一,中性
怕的就赶紧下车，明天中冶将迎来历史性的时刻。,积极
又要开始跌跌不休了,消极
两个月之后再来看三七，有的朋友耐心持有。。不亏的也可以卖了不要在这耗着，这厮半年报之后才开始会有行情,消极
遇上对的人，遇到牛股一样道理，32就放手了，今天高攀不起,积极
急跌才会快速反弹拉升，长期底部横盘换手洗盘吸筹，短期内是不会涨的，千万别补仓，主力都去核心资产了，这股的牛市行情结束了。,消极
还是老生常谈，缺量！虽然长虹最近涨势不错，但还是没有大规模上攻，只能等等再加仓,积极
买你悔青肠子啊,消极
龙哥已经全面出逃把粉丝套在山顶,消极
上行压力大，看来又得徐徐图之,消极
1000万手封涨停,积极
这支票真好！又能分红。股价又低。估计还能往下。两块多就好了。再多买点。,积极
1月7日钴价,中性
四个9推荐的京运通都翻倍了，别说，这只股看得挺准,积极
哈哈，这就是利好出尽是利空吗,消极
真牛逼这股！,积极
武魂觉醒已经从畅销榜第九变为上升为第七，而下载榜则由原来的前五下降为第八。创收能力继续得到证明。绝世仙王创收能力也在提高。,积极
华东中标浦东公安分局情指一体化实战平台建设项目，中标金额1.07亿。,中性
今年载人航天爆发，空间站组建，牛年建党100年最大献礼，中国空间站开启新征程,积极
美克高管平均买入成本5.18元，留给高管的买交易日还有26个，还要提供多少利益供高管买入？,中性
上市才两年就着急着减持,消极
5元到10元应该很轻松。,积极
"""大股东必然要靠解冻的股份还债,中国稀土集团是重磅题材""",积极
垃圾股能涨这么高，体主力怎样跑出来,消极
跌的最低到13。43元，反弹很快。加油加水加能下午翻红。,积极
哎，你有光伏，有矿，有草甘膦，有消毒水，有玻璃，还有河蚌。可你在二级市场烂的一批。估计你们高管也有小三吧,消极
江恩理论分析一下成交量一一也十分完美，美到极点，量价齐升了，这不是江恩理论的经典案例吗,积极
撤了撤了，快别唱多了，股东都不看好。。。被割小韭菜,消极
目前外盘大涨板块大涨望你一举收复5天10天线,积极
请问同核啥时候要出利好公告,积极
吹小康骂人的go逼呢？？？！！！哈哈哈！爆跌点火开始啦？！！！！！！！！,消极
天时地利人和聚在！俱全！奔向730名正言顺！天经地义！建议你很好很好的向迈为看齐！学习了！时不我待！,积极
这个价位持续很久了，没啥看头,消极
上长缩量下跌放量大家心里得有点数。,消极
怎么回事啊说种子是芯片是骗人的吗庄你拉一下啊给块糖吃再给一巴掌也好啊煎熬啊,中性
这股把人都逼成啥样了，个个都要变成大文豪啦,中性
看机构持股业绩等不加买金风科技、大家评论一下,中性
底部确立，立贴为证,积极
掉下来郁闷了。,消极
上攻开始，不能落下我,积极
你们别造谣了，说什么4月1号停牌摘帽，正常情况是公布年报才能摘，4月30号公布年报,中性
典型的拉高出货，几十手几十手的拉，拉上去就几百手几百手的卖。,消极
不人抄胶专抄骂声股不抄笑声股，v形还没出现不可能大涨，这股抄盘手是一流的上压下护，大单卖给自己小单吃了散户，不多说了。,中性
跌不动了,积极
这量能，明天待涨啊！不错～,积极
宋城演艺的新厂房可以由中铁装配承建,积极
37拿好！！？别被洗了,积极
完蛋咯，要大跌了。,消极
主力想要更低的筹码，韭菜们为何不顺势而为呢，现在一直补仓，到时更低的价位又没钱补，然后就怨天喷人。,中性
股价涨幅同比增长100%，业绩大增！利好！,积极
太阳纸业，名字好，升起来就是太阳，跌下来就是月亮，看你怎么样，对得起名字不,消极
工业大麻,中性
一季度同比大增，,积极
一个庄托换了马甲消停了，另一个马上就出现了。@小散爱华工你该换马甲发言了。,消极
华工到底什么情况，不涨还跌,消极
买入，建仓,积极
老子就是不卖。,积极
