id,text,label
t3897,Kar98k狙击步枪的真实威力如何，防弹衣及头盔是否能有效抵挡？,电竞
t8254,滴滴顺风车是网约车还是合乘车，你们知道吗,科技
t3263,都是草根创业，凭什么说朱元璋得位最正？,财经
t582,快手网红杨清柠再被扒，晒照秀“纹身” 网友：看位置知人品,汽车
t1626,震后十年间，什邡市政协一直行走在履职建言路上——追寻幸福美好新生活,旅游
t9086,股神看好中国光明未来，外资布局这类股！（附股）,财经
t7300,这房子，难怪房东要卖,房产
t3459,伊朗硬气：美军数十艘军舰逼近 毫无怯意,军事
t6221,为什么说“1+1”是数学难题？,文化
t5164,车停小区内车胎被扎，责任如何划分？,房产
t2348,考生迟到2分钟被拒进入高考考场应该吗？,教育
t1274,从跳一跳说起，腾讯又赢了一次！,科技
t4738,困兽出笼？为了冠军科尔或动用最后底牌，火箭最担心的事情来了,体育
t929,帝盛房车居然还能泡温泉 看国内首款自带温泉池的房车,旅游
t731,“蜘蛛侠”花费一整天为流浪狗找主人，善良又可爱简直暖哭网友,娱乐
t1263,笑话：妻子说，我们的日子还长着呢 我……,教育
t5070,阿联酋航空空姐游世界 吸6万粉丝,旅游
t6256,怎样活的滋润，来学学广州的黑人老哥,农业
t9372,消费升级中国零售企业如何突围？国美向服务商角色转型！,财经
t469,网约车遇害空姐疑为山东鲁能球迷 鲁能将士表达哀思,体育
t5537,互联网黄金行业：根据监管意见推进整体合规化,科技
t5971,寻找能成为核心的科技题材,股票
t7393,如何正确使用空调，多少度最合适？,汽车
t773,泰国留学怎么样？,国际
t6617,富士康IPO批文来了 未披露募资金额,股票
t596,探访福建千年古村——将乐良地村,农业
t9596,老梁讲述全军为什么要更换新军车牌？,军事
t1877,真融宝荣膺《网贷口碑优选榜》三甲，开启新征程,科技
t9974,外媒称海南将成中国对外开放新窗口：繁荣或超香港,旅游
t3866,LOL：小狗深受峡谷之巅影响？韩服一波连跪未必不是好事,电竞
t9047,A股中的白马股闪崩跌停不断，下一个风口在哪里？,股票
t5892,上课时学生手机响个不停，老师一怒之下把手机摔了，家长拿发票让老师赔，大家怎么看待这种事？,教育
t7302,《寂静之地》曝最新片段 夺命玩具触发生死危机,娱乐
t6853,这个“懒”偷的好！桃园无人机替代人力轻松作业,农业
t543,亲近孩子：教育孩子有方式，三种途径让你与孩子更近一步！转发！,教育
t6040,"解读: 阿里巴巴每天纳税一亿, 腾讯王者荣耀每天一亿, 这两个有什么区别？",财经
t9393,嫁给800斤黑人相扑王的美女模特在干嘛？空有千万遗产难觅有情郎,体育
t5664,奶奶把我妈逼上绝路，我恨她，直到她去世，我都没有参加葬礼！,故事
t9838,600年最美昆曲，中国歌剧魅影：情不知所起，一往情深,文化
t9983,成都20多个景区免费，只需提前预约即可，网友：这有什么用呢,旅游
t9525,中金：中国CDR发行有望年中启动 龙头券商料受益,股票
t6492,你认为《滕王阁序》写的最有哲理的句子是什么？,教育
t8597,忆童年（四）,农业
t1691,迪拜新增200兆瓦太阳能发电能力，其清洁能源占总装机容量的比重提升至4%,国际
t7544,克什米尔问题最终可能被如何解决？,军事
t2059,东北大鹌鹑操作技术大概是什么段位？,财经
t7226,川藏线穿越之旅第一天,汽车
t2786,Uber展现飞行汽车原型，有望5年内应用于服务,汽车
t3314,以色列和伊朗相互开火，俄罗斯会站在哪一边？,国际
t9862,灭霸手下黑曜五将战斗力分析：乌木喉最强！超巨星难道是她吗？,娱乐
t8557,妻子忍无可忍要离婚，丈夫哭着喊着求原谅，妻子：我心已死,故事
t8642,米高轮滑教你花式绕桩第一步，放桩与绕桩的基础练习,体育
t4501,俄罗斯，不惧怕任何核打击！,国际
t333,《启航新时代筑梦新征程》冯建军书画原创作品邮币珍藏册样稿鉴赏,文化
t419,彼岸无华,旅游
t1452,天壤智能薛贵荣：我们要做最亲民的 AlphaGo,科技
t4563,年入百万的家庭是什么生活状态？,汽车
t5698,哈佛M6成都地区按揭首付多少？,房产
t835,「红色五月」“红五月”合唱节 唱响绚烂青春,娱乐
t9499,老公在聚会上让我向他的上司敬酒，现在老公哭了，我笑了,故事
t317,比斗鱼快，虎牙今日在美国上市，成中国第一家游戏直播平台,财经
t5416,vivo全球首发Android P开发者预览版,科技
t2163,“杭州·纽约联名地铁卡”在美国发售,旅游
t4226,笑傲中方证大师和任我行比武的时候他真的放水了？,军事
t9220,发财了！南京河西一套房！,房产
t7982,满江红，情纵凌河,文化
t9928,中国核电概念股龙头有哪些？,股票
t1605,最初的最初，彼此相爱；后来的后来，只能分开,娱乐
t8374,中医有哪些流派？,文化
t4165,母亲节，致我最伟大的母亲,农业
t4050,德国都打到莫斯科了，日本却不去帮一把反而去打自己招惹不起的美国这是为什么？,国际
t6046,我参加尼加拉瓜国家大剧院大学生毕业典礼,文化
t3942,西藏山南邀湘企入藏 百余企业和商会共为经济发展助力,旅游
t9466,全市2018年1-4月份科技型企业评价/认定情况通报,财经
t3735,独家爆料！万科中兴等8大500强总部集体动工！深圳湾超总呼之欲出,房产
t9541,如何评价MSI赛后采访KZ上单Khan：和RNG的比赛本应更早结束？,电竞
t5121,美国为何要置萨达姆和卡扎菲于死地？,军事
t913,四川仪陇：61名外国中高指挥军官齐聚朱德故里参观见学,文化
t9,军嫂探亲拧包入住，部队家属临时来队房标准有了规定，全面落实！,房产
t6856,女子午睡醒后发现自己的腿惨不忍睹，罪魁祸首老公在旁边偷笑,故事
t5710,一包辣条带你回到童年，这是一家充满温情的杂货店,电竞
t9567,这个黑人国家太强，只比美国和加拿大弱一丝，对中国游客免签,国际
t8342,装配整体式砼剪力墙结构，单体预制率40%—顾村安置房F-4地块项目,房产
t5299,斯诺克世锦赛夺冠，为什么威廉姆斯全裸参加新闻发布会？,体育
t2341,东西部决赛将至，你看好谁能冲出重围？,体育
t7692,平安好医生两日破发，市场哄抢的独角兽并不一定是好股票,科技
t9396,尼泊尔最大的城市，被称为“寺庙之城”，还比不过中国的一个镇！,国际
t4701,TVB花旦受力捧 剧接剧没得休息 要将婚期押后？,娱乐
t8909,破眠剂+授粉剂 解决大连瓦房店地区种植历史性难题,农业
t2181,俄胜利日彩排亮点多！超音速“匕首导弹”高调吸睛！,国际
t387,俄叙终于报了一箭之仇，该国600吨武器被炸，至少损失6个亿,军事
t6571,当年谢霆锋跟任贤齐谁更火？,娱乐
t8634,《X战警：逆转未来》中快银和会瞬移的变种人是怎么被哨兵击败的？,军事
t3385,他奉命而来，专攻疑难杂症和清高冷傲的绝世美女,故事
t2817,假如一个人同时在3家保险公司买了意外险，出事了可以获得3份赔偿吗？,股票
t2017,「仙境天使」范丽：在平凡的岗位谱写不平凡的篇章,旅游
t572,太激动：王大雷助攻佩莱，绝平权健，太太天团惊艳,体育
t7181,方舟子说象棋源自印度，中国古代没有大象，你认为这种说法怎么样？,文化
t5191,一狗一人头——杨戬进阶攻略,电竞
t5366,胶州中小学招生办法来啦！瑞华中学首次招生,教育
t8004,"游戏王 记忆中的卡牌“美杜莎”, 并不像传说中一样让我心惊胆战",电竞
t5576,你从哪里来，我的美味佳肴？,农业
t7273,无人机试飞坠毁！土耳其自主研发艰难，或因毁约导致孤立无援,军事
t2682,NBA现役最强小前锋，第一称霸联盟多年，杜兰特屈居第二,体育
t6083,《西游记》中，是谁在四处散播吃了唐僧肉就可以长生不老的传言？,文化
t1099,如何在香港开立证券账户？,股票
t9751,老婆生儿子，岳母送一箱方便面，拆开来吃，我妈让我把岳母接来住,故事
t2292,马云：资本寒冬，那时候已经不对投资者抱什么希望了，只能自救,财经
t620,如何看待联想要首发高通骁龙855？,科技
t7286,无限幻境第一期：第一层挑战的通关注意事项,电竞
t7379,春光无限好，求下联？,电竞
t3449,今生有缘无分，来生再相聚吧,军事
t492,连锁酒店、情趣用品和新零售,科技
t6908,NT、早唐、中唐，咋回事？,故事
t9539,手鞠看见小李丢掉铁块，立马不屑起来，铁块落地手鞠一脸的懵样,电竞
t758,妻弟公司破产，我拿十万换来一套旧桌子，没想到惊喜来了,故事
t3898,首支东部决赛球队出炉！詹姆斯：感谢步行者，骑士球员：感谢猛龙,体育
t3566,网络热词“积极废人”怎么解释？,教育
t3094,9款高质量学习软件，原来学霸都是这么炼成的！,教育
t9125,盘中突然跳水，是什么原因？,股票
t9922,和县，让中国奥运金牌梦想成真的地方……今天，第一届全县运动会盛大开幕！,体育
t3949,Vita Coco×smart Local Secret，刷新你的初夏出行体验,汽车
