id,text,label
fomc31,labor productivity remained on a strong upward trend.,鸽派
fomc337,"And those don’t—those, frankly, don’t carry significant implications in the long run for the—for inflation or for the American economy.",中性
fomc408,"In response to the resulting high inflation, the Fed was obliged to raise interest rates, and the economy weakened.",鹰派
fomc202,"To support continued progress toward maximum employment and price stability, the Committee today reaffirmed its view that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the asset purchase program ends and the economic recovery strengthens.",鸽派
fomc428,"Compared with the baseline, the disruption to economic activity was more severe and protracted in this scenario, with real GDP and inflation lower and the unemployment rate higher by the end of the medium-term projection.",鸽派
fomc486,"As you may know, the interest rate that we target is the federal funds rate, the rate banks charge each other for overnight loans.",中性
fomc473,Although the unemployment rate edged up to 5.,鸽派
fomc343,"Although real growth was likely to be moderate in coming quarters, in his view it was unlikely to be slow enough to bring core inflation down.",鹰派
fomc335,"Overall inflation was projected to remain subdued, with the staff's forecasts for headline and core inflation little changed from the previous projection.",鸽派
fomc274,"However, energy prices were expected to level out, and rents, while difficult to forecast, were viewed by some participants as likely to decelerate in coming quarters.",鸽派
fomc54,Fiscal austerity is the one tried and true approach to dealing with budget and trade deficits simultaneously.,鹰派
fomc477,"In a traditional growth accounting setup, these effects would show up in multifactor productivity growth.",中性
fomc243,"The slower growth of final spending resulted in inventory overhangs in a number of industries, most notably those related to the motor vehicle sector.",中性
fomc469,"However, the available measures of expectations--whether from surveys or financial markets--have shown longer-term expectations increasing very little, if at all, throughout this period, providing some assurance about the inflation outlook.",中性
fomc48,"With regards to inflation, the median inflation projection of FOMC participants is 2.4 percent this year and declines to 2 percent next year before moving back up to 2.1 percent in 2023.",中性
fomc439,"Well, that’s—what’s happening there is the fact that the relationship between resource utilization, or unemployment, and inflation has just gotten weaker and weaker over the years.",鸽派
fomc84,"The broad index of the foreign exchange value of the dollar rose nearly 3 percent over the intermeeting period amid the rise in U. S. interest rates, market expectations that U. S. tax reform was becoming more likely, and foreign central bank actions and communications.",鹰派
fomc293,"Inflation pressures remain muted, and indicators of longer-term inflation expectations are at the lower end of their historic ranges.",鸽派
fomc487,"In determining how long to maintain a highly accommodative stance of monetary policy, the Committee will also consider other information, including additional measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial developments.",鸽派
fomc170,"Economic activity expanded in the second quarter, partly reflecting growth in consumer spending and exports.",鹰派
fomc188,"Although in a number of sectors of the economy the imbalances between demand and supplyâ€”including labor supplyâ€”are substantial, I do continue to judge that these imbalances are likely to dissipate over time as the labor market and global supply chains eventually adjust and, importantly, do so without putting persistent upward pressure on price inflation, wage gains adjusted for productivity, and the 2 percent longer-run inflation objective.",中性
fomc429,Hungary and Poland adopted inflation targeting following parliamentary acts stipulating that price stability was the main objective for the central bank.,鹰派
fomc388,"Moreover, many members saw some risk that an easing move at this point might trigger a strong further advance in stock market prices that would not be justified on the basis of likely future earnings and could therefore lead to a relatively sharp and disruptive market adjustment later.",中性
fomc198,"Millions of new jobs have been created in the last few years; and unemployment, now at 4.3 percent, has been at or below 5 percent for over two years.",鹰派
fomc458,"Even so, the growth of investment spending over this period noticeably outpaced the rise in retained earnings, and thus these corporations turned to the capital markets to fill the widening gap.",鹰派
fomc137,"Putting It All Together I would now like to step back and consider the relative contributions to the trade deficit of each of the explanations I have discussed, as shown in figure 6.7 To the extent that the contributions of these shocks are reasonably well measured by the macroeconomic model simulations, the most important message I draw from them is that no single factor constitutes a dominant explanation of the deterioration in the U.S. current account balance.",鹰派
fomc369,"At these low rates, the central bank is poorly positioned to respond to further negative demand shocks.",鹰派
fomc396,We all saw the remarkable price increases and shortages in the used car market.,鹰派
fomc224,"Looking ahead, FOMC participants project the unemployment rate to continue to decline; the median projection is 5 percent at the end of next year and moves below 4 percent by 2023.",中性
fomc423,The reserve conditions contemplated at this meeting were expected to be consistent with some moderation in the growth of M2 and M3 over coming months.,中性
fomc215,"Because long-term interest rates can remain low only in a stable macroeconomic environment, these goals are often referred to as the dual mandate",中性
fomc449,The Committee continues to view changes in the target range for the federal funds rate as its primary means of adjusting the stance of monetary policy.,中性
fomc247,"So on the first, the Committee’s forecasts and those of most outside forecasters do show growth running below its longer-run potential this year and next year.",鸽派
fomc419,"However, I can provide you with some insight into the way the FOMC functions and the impact of monetary policy on the U.S. and global economies.",中性
fomc127,"Against this background, the members agreed on the need to continue to monitor the economy with care for signs either of a potential upturn in inflation or greater softness in the expansion than they were currently forecasting and to be prepared to respond promptly in either direction.",中性
fomc227,Several participants reported that business contacts had expressed growing concerns about the increase in their input costs and that there were signs that an increasing number of firms were seeking to pass on these higher costs to their customers in the form of higher prices.,鹰派
fomc427,"In the absence of legislation, going appreciably further in the direction of prioritizing price stability, as would be implied by a numerical target that was expected to be achieved most of the time, would be potentially damaging to the democratic balance and would risk a backlash.",鸽派
fomc17,"If the FOMC were to tie mechanically our actions to market prices, then we would be placed in the sorry position of validating whatever whim that currently struck investors' fancy.",中性
fomc281,This was a somewhat sharper effect than was anticipated at the beginning of the year and accounts for a small part of the forecast error on inflation.,中性
fomc222,"This conclusion is buttressed by recent sizable increases estimated for labor productivity for the manufacturing sector, derived from a data system that, for the most part, is independent of the national accounts.",中性
fomc336,wholesale prices edged up in March relative to their level of a year earlier and posted the first increase on a twelve-month basis since July 2000.,鹰派
fomc352,Significant cost cutting by firms was thought to have led to a sizable increase in productivity growth in the first half of the year,鸽派
fomc400,Measures of forward inflation compensation based on Treasury Inflation-Protected Securities and inflation swaps fell further.,鸽派
fomc438,Higher productivity is unambiguously good.,中性
fomc465,Output was forecast to expand at a rate a little above the staff's estimate of its potential rate of growth in 2019 through 2021 and then to slow to a pace slightly below potential output growth in 2022.,中性
