id,text,label
climate114,• Transition to a low-carbon economy presents innovation opportunities to shift our business models and assets in response to climate change • Gain confidence of broader stakeholders such as general public and future talent pool who seek businesses that actively manage climate related topics • Create value for customers through safe and efficient products which support carbon footprint reduction • Operational efficiencies and cost saving through GHG reduction,机遇
climate300,"In 2017, I commissioned Newton’s first TCFD (Task Force on Climate-related Financial Disclosures) report to ensure that we were holding ourselves to the same standards as our investee companies, and specifically to explain how we were considering, and preparing for, the risks and opportunities presented by climate change. Following the first report, I am delighted to introduce our second TCFD report which combines updates from 2018 and 2019, during which period we have made a number of positive changes. Highlights include establishing board-level oversight for Newton’s actions on climate-related risks, entering into new data relationships with carbon experts, undertaking significant internal education, and establishing a climate change-focused investment group to undertake climate scenario analysis.",中性
climate194,"Developed in partnership with RANMAN Energy, the La Laguna Cogeneration facility was expected to provide low-carbon and cost-effective heat and electricity under a long-term agreement. The total investment associated with the project was expected to be $70 million. In February 2021, due to ongoing construction permitting delays, Canadian Utilities and Chemours mutually agreed to terminate the La Laguna Cogeneration facility contract. The contract provides for the recovery of Canadian Utilities' incurred costs on the project.",风险
climate251,"Improving operational efficiency Our teams are dedicated to monitoring and optimising our roadside fix rate – one of our key performance metrics – which is not only better for our customers, but also means we reduce our mileage and only tow vehicles (the most carbon-intensive part of our service) where absolutely necessary. Taking this a stage further, we are also now operating Phone Fix, an initiative aimed at understanding customer requirements and fixing jobs over the phone. We are currently fixing approximately 1.3% of jobs over the phone, saving approximately 100,000 miles driven in the first half of 2020.",机遇
climate75,"We are a purpose-led organisation that considers our long-term sustainability as contingent on the success of the societies in which we operate. We will play a leading role in addressing climate change in ways that are sensitive to the local context, including climate vulnerability, development imperatives and structural economic challenges.",机遇
climate154,"Our sustainability efforts are underpinned by strong corporate governance, which we continue to reinforce in line with recommendations of the Malaysian Code on Corporate Governance 2017 (MCCG 2017). This saw us set up a new Board Risk Committee to further enhance our risk oversight, adding to the existing Board Audit Committee and Nomination and Remuneration Committee. The Board as a whole comprises four Independent Non-Executive Directors (INEDs), who make up 50% of its composition, two of whom are foreign Directors. On a related note, I represented the Group in signing an Integrity Pact with the Malaysian Anti-Corruption Commission (MACC), underlining our commitment to observing integrity in all our dealings with stakeholders.",中性
climate203,"In the Group, we recognise the benefit of integrating ESG factors into our investment strategy, and in recent years we have taken active steps towards increasing the role that ESG considerations play in determining our investment strategy. Looking ahead, we are accelerating action with a long-term goal of ensuring our entire investment portfolio is net carbon neutral by 2050.",机遇
climate250,"Nedbank has a Damage to Physical Assets scenario guided by experts that is reviewed every year that covers events in which the bank might, in part or in total, experience the loss of its property portfolio (ie its buildings, including contents) as a result of intended or unintended disastrous events (factors in extreme weather) or other circumstances (terrorist attacks, arson, etc). Frontline clusters have litigation scenarios that involve regulatory bodies and third parties instituting legal action against the bank that could arise from intentional or unintentional process deviations, contractual breaches, unacceptable business and/or market practices resulting in subsequent financial losses and reputational risk.",风险
climate141,"At DNP, we have created the Environmentally Conscious Products and Services Development Guidelines in order to create environmentally conscious products and services from the design stage, so as to reduce the environmental impact of our products and services throughout their lifecycle. • Sales of Environmentally Conscious Products and Servicess",机遇
climate225,"External recognition ⌐ adidas continuously receives positive recognition from international institutions, rating agencies, NGOs and socially responsible investment analysts for its sustainability initiatives. In 2020, the company was again represented in high-profile sustainability indices and subject to comprehensive corporate sustainability assessments. ► SEE OUR SHARE",机遇
climate293,"We determine which stores are included in the comp sales calculation at the beginning of a fiscal year and the classification remains constant throughout that year unless a store is closed permanently or for an extended period during that fiscal year. In the third quarter of fiscal 2018, 37 stores were significantly impacted by hurricanes, mostly in Puerto Rico, and were excluded from comp sales. These stores will be included in the comp sales measures once they again meet the comp sales criteria.",风险
climate30,"� SASB materiality: in the 2019 process, as a further element of analysis, account was taken of the materiality assessment of the 28 mapped themes obtained using the materiality assessment tool developed by the Sustainability Accounting Standards Board, with reference to a number of sectors, specifically including road and air transport, engineering, construction and logistics. SASB standards[3] specifically focus on how the pertinent themes are perceived by investors. Therefore, this materiality model is mainly based on an assessment of the effects ESG issues can have on the financial conditions or operating performance of companies within a specific sector.",中性
climate87,"In 2020, we contracted three operations pursuant to terms of Equator Principles referring to three Project Finance (projects whose total capital cost is equal to or higher than US$ 10 million). We interacted with eight customers, requesting to 100% of cases environmental licensing, if applicable, and projects were not denied during the year.",中性
climate285,"─ Risk and opportunity identification: adidas continuously monitors the macroeconomic environment and developments in the sporting goods industry as well as internal processes to identify risks and opportunities as early as possible. On a semi-annual basis, the Risk Management department conducts a survey with all members of the Core Leadership Group (CLG), Extended Leadership Group (ELG) and Global High Potential Group (GHIPO) to ensure an effective bottom-up identification of risks and opportunities. Risk Management has also defined 25 categories to help identify risks and opportunities in a systematic way. In addition, adidas uses various instruments in the risk and opportunity identification process, such as primary qualitative and quantitative research including trend scouting and consumer surveys as well as feedback from our business partners and controlled space network. These efforts are supported by global market research and competitor analysis. Through this process, we seek to identify the markets, categories, consumer target groups and product styles which show most potential for future growth at a local and global level. Equally, our analysis focuses on those areas that are at risk of saturation or exposed to increased competition or changing consumer tastes. Furthermore, as part of our identification process, we monitor physical risks related to climate change as well as risks and opportunities resulting from the transition to a low-carbon economy. Our risk and opportunity identification process is however not only limited to external risk factors or opportunities, it also includes an internal perspective that considers company culture, processes, projects, human resources and compliance aspects.",中性
climate31,"All our manufacturing partners are subject to specific performance criteria which are regularly measured and reviewed by Global Operations. To ensure the high quality that consumers expect from our products, we enforce strict control and inspection procedures of our manufacturing partners and in our own factories. Effectiveness of product-related standards is constantly measured through quality and material claim procedures. In addition, we track social and environmental performance criteria of our suppliers through the compliance and environmental KPI (C-KPI and E-KPI) tracking system. Adherence to social and environmental standards is promoted throughout our supply chain. The current list of our independent manufacturing partners can be found on our website. ¬ ► ADIDAS-GROUP.COM/S/SUPPLY-CHAIN- APPROACH ► SEE SUSTAINABILITY",中性
climate291,"Nedbank committed R37,2bn limits at 31 December 2020 and has appetite to increase this to R50bn for the South African renewable energy independent power producer programme. Nedbank will further its embedded generation financing to accelerate the transition and accordingly aims to achieve R2bn in financing by 2022.",机遇
climate198,"1. A Climate Change Working Group (CCWG) was established in 2018, with the responsibility of ensuring that Newton effectively manages climate- related risk and opportunities across the business, by integrating climate-change considerations into investment and business decision-making. The CCWG is chaired by the chief investment officer. Where relevant, these discussions are also fed up to the Board Risk Committee, which is chaired by BNY Mellon Investment Management’s Global Head of Governance, Greg Brisk, which is then fed into the board.",风险
climate127,"Our approach to capital expenditure has already been influenced by climate-related issues, for example through the investments we have made to reduce the overall greenhouse gas (“GHG”) emissions in our estate (see page 19). The Group is aware of the long-term benefits these investments can bring, and we intend to begin developing climate-related processes and considerations into our investment appraisal approach during 2021.",机遇
climate35,"We aim to achieve a decarbonized society through energy-saving activities including upgrading to energy-efficient equipment, the adoption of renewable energy and upgrading to next-generation energy. We will also pursue the development of products and services which will contribute to the creation of a decarbonized society.",机遇
climate100,"As an natural resources industry, we have a profound responsibility to address the planet’s undisputed warming and adapt to future impacts. It remains a high profile challenge across our markets Countries like India in which we are operating are predicted to experience the worst impact of climate change as it is a coal consuming economy.",风险
climate314,"Our Alignment with the UN SDGs As a global citizen, LG Chem is making efforts to contribute to the achievement of UN SDGs. Considering the direct and indirect impacts on our business models, we focus on the SDGs relevant to our businesses and engages in a variety of sustainability activities on specific targets.",中性
climate162,"There are many projections about the future growth and decline rates of fossil fuels usage. However, whether we like it or not, the reality is that the world currently remains deeply reliant upon fossil fuels for reliable energy. We treat these long-term projections with caution though, as supply, demand and pricing are driven by many inter-related variables which become increasingly difficult to predict the longer the time horizon. Additionally, technological disruption can occur quickly.",风险
climate193,"2 Scope 1: comprises emissions from our use of natural gas and fuel oil; Scope 2: comprises emissions from our use of electricity, renewable electricity and district heating; Scope 3: comprises emissions from our business travel by air and car. While scope 3, category 15 (emissions through lending and investments) is material to ING’s indirect emissions footprint, due to measurement complexity and lack of quality data, ING is not able accurately to measure and disclose this figure. See section on Climate Strategy above.",中性
