id,text,label
finfe1531,满仓韵升被套住了！这下完蛋了！,消极
finfe757,"""300012,看看同板块300234""",中性
finfe197,只要你去松山湖中集产业园转一圈，你就会从此死抓中集不放手,积极
finfe841,培根~根都要你培光，输光,消极
finfe595,压盘阴跌涨不上去,消极
finfe1813,要20厘米了吗,中性
finfe1922,破位了，清仓大甩卖,消极
finfe1271,疫苗研发成功了，可能，明天没有上车机会了,积极
finfe922,跌停跌停跌停跌停跌停跌停跌停跌停跌停跌停跌停跌停,消极
finfe1484,四橙减持的差不多了,消极
finfe122,2021年大牛股“特变电工”启动了，光伏材料龙头等。,积极
finfe1199,星期一是走是留，大伙给拿个注意。,中性
finfe1613,今天能涨停算我输,中性
finfe176,星湖被汇理玩成仙股了，这是要报复广新？,中性
finfe1683,2.98元给它烧点纸钱看会不会上一分！！！,中性
finfe689,高负债，高的里面的机构都怕，不断出货,消极
finfe190,迦南智能（300880）下周破30元，请做好心里准备。,积极
finfe1230,还没吸筹够吗？这个压！,消极
finfe1607,一天更比一天低,消极
finfe1288,浙江海纳半导体，对比中晶科技，浙江海纳半导体分拆上市已经值50亿,积极
finfe691,还亏93w,中性
finfe19,"""荣联科技与温州邦合伙了,未来牛不可估量!""",积极
finfe1863,今天坐等看股,中性
finfe680,600958将围绕碳达峰、碳中和目标制定汽车产业实施路线图推动新能源汽车动力电池回收利用（附股300461,积极
finfe1009,下午变红,积极
finfe551,葫芦娃卖飞了,积极
finfe142,马上4.78了，不用着急，看这趋势，目标4.5！,积极
finfe1742,凡是控股股东减持的，一律看做不看好公司发展前景。,积极
finfe1259,空狗喊退市知道吗？老标准退不了，新标准目前还是征求意见稿，征求意见将于12月28日结束。,中性
finfe1895,马天晖什么时候下台？,中性
finfe529,之前好的美丽的故事，没下文了？也该出个公告告知告知吧,中性
finfe1751,破A股，H股都31.8元，A股才29,中性
finfe786,这么少的量都能砸下来？,消极
finfe1936,新兴装备突破20线概率约1%,中性
finfe102,晋商啊！贾跃亭！,中性
finfe1602,快感谢TCL科技吧，这是个真正干事的企业，以后中环的空间很大,积极
finfe1650,大盘还要跌，别着急买,消极
finfe654,中国铁物=中国高铁运白酒,中性
finfe304,现在我跪拜烽烟爸爸上瘾了，都养成习惯了,中性
finfe1776,要不要割肉？小亏4个点,中性
finfe1194,业绩比登海种业高1倍，盘子一半，股价低30%，,积极
finfe1780,nnd，被这家子坑惨了,消极
finfe755,散户多了！快把筹码交出来,消极
finfe1916,明天挂多少我想现在挂单,中性
finfe383,今天生死决战,中性
finfe1473,，别的涨你不涨，跌起来又是前三，操盘吗？,消极
finfe284,从今往后将大涨,积极
finfe368,永远上车都不晚，目标500出发,积极
finfe946,摔得还不够，主力还想摔谁,消极
finfe144,好，很好，非常好。又到主力大宗交易买入价！,积极
finfe736,只要再跌1%，我就分批杀入，一直买到公司破产为止。时间周期三年。,消极
finfe1675,低位，低价，低估值，像这种三低股票，千万别被忽悠出自己的筹码，坚定持有，必有回报，不能动摇，要有信念。,积极
finfe1475,挺而不坚，坚而不久！下午低走,消极
finfe428,两分钟热度,中性
finfe1064,昨天说成妖，待验证,积极
finfe1914,T的挺过瘾，就是怕明天补跌啊！接的有点怕怕啊！,消极
finfe1562,今天收盘价应该是在2.11上下一分,中性
finfe317,我就看即时排名什么时候会是最后一名,中性
finfe258,25cm，增发机构就能减持了，大家要加油。,中性
finfe352,见顶大跌跌穿4元,消极
finfe95,13.15到13.50为最佳位置，工厂放假生产处与半停产状态，现在买进被套后，舂节后解放,积极
finfe6,20202020，风起云涌,中性
finfe1575,加密货币吸走了大部分资金,中性
finfe1704,我giao昨天买的两百股今天居然涨了那么多还那么多唱多的是不是要跑哦,中性
finfe320,连1分钟都没开放,消极
finfe476,低位震荡,中性
finfe653,便宜没好货！必须超便宜才可以买。,消极
finfe279,隆基牛笔,积极
finfe1486,发现底层核心技术的摩尔定律（一）,中性
finfe244,散户们快买便宜啊多买多买给你们跌停,消极
finfe1313,这么大的盘子涨停了，牛逼,积极
finfe1320,前二大股东占股比百分之八十五，净资产以下无理由减持，三十亿可以干涨停，有人干吗？,中性
finfe1794,你是准备破百吗？调整这么久，你要是还不破百都对不起我们这些粉丝,积极
finfe775,地天板啊,积极
finfe319,上方套牢盘太多，主力实力一般，走为上,消极
finfe1152,沪股通天天加码，股价就是上不去,消极
finfe154,华电重组，必定后续大涨,积极
finfe1474,未来新能源汽车龙头，比亚迪，长城，市场占有率未来可期，鉴定完毕！长安？呵呵，不具有代表性，格局太小,消极
finfe1293,求你们别再唱多了,中性
finfe1402,庄家应该拉到7-8%，再至15%，让人追高，然后第二天一锅钝！,消极
finfe1692,金发科技股吧人气不久会暴涨，至于原因，暂时保密!金发金发，是金子总会发光，光照四野，流金溢彩，金河逐浪，浪尖排空。,积极
finfe252,，涨4天抵不过半小时，简直是无耻。,中性
finfe862,一条生产线好干什么,中性
finfe113,8.04压力,消极
finfe579,玻璃降价，纯碱就一直跌，真准,消极
finfe561,2020净利润2.5亿，卖子公司赚14亿，嗯，去年主营净亏损应该是-12多亿，牛,中性
finfe1217,从现在开始，开启三个涨停板,积极
finfe1781,12块钱的成本，几年都不用看了吧吧？命苦不赖社会,中性
finfe286,继续协商，说明需要让渡的一方认为股权价值高，不愿意低价让渡，博奕,中性
finfe837,秀啊，你这是业绩要暴雷的节奏啊,消极
finfe1071,举报这……mad,消极
finfe1434,纽交所再反转的可能性很大，A股联通涨停板最迟下周二（即元月12号）来到,积极
finfe512,可惜，不在风口上，市场风格变了,消极
finfe1778,不知不觉又满仓了,积极
finfe995,近期必然大涨！45以下都可以进场,积极
finfe1646,越发越跌，求你们不要发利好了，多发利空,消极
finfe644,国之重器,中性
finfe931,高投入、高风险、高产出、长周期,中性
finfe335,今天主力度假去了吗？我好几个票今天都涨停了，就你还是绿的，你居然还绿盘好歹要平台涨几分钱也好啊,积极
finfe212,加到满仓了,积极
finfe921,总成交手数22222,中性
finfe1344,可以展开想象,中性
finfe263,紫光国微，天通股份，江苏国泰，共进股份！,中性
finfe1163,可把我堵死了，买了十个月了。亏了30多个点。全仓没法活了,消极
finfe1872,我家里有一件1975年的53度飞天茅台，发财了。,积极
finfe14,从35买的，一点一点做T，今天算是盈利了，太难了,中性
finfe83,真不希望开盘就涨，最好收盘是全天最高点,积极
finfe563,最后抄底的机会不能放过，随着中西地块的逐步开工武夷的大底以后不可能再有了,积极
finfe545,第一步：一季度减亏或盈利；第二步：收购成功；第三步：...,中性
finfe1116,看看人家，跌有跌的样，涨有涨的样！你这个假航天垃圾！,消极
finfe325,20日线压制狗庄不想上了狗庄一直在跑,消极
finfe904,明天起飞,积极
finfe932,尾盘跌下来在。。。,消极
finfe702,今天母公司国家电投下属电厂用远达环保脱硝，除尘设备，销售额一亿。逻辑对了，怕什么，没格局的游资,积极
finfe29,突然又想起那位要直播的，有哪位老铁知道他吃饱了吗？,中性
finfe554,珠宝属牛的，欠抽的货快点涨,积极
finfe138,完美世界和三七互娱走势已经分化了，完美世界即使上涨也拉不动三七，二者甚至还会呈反向关系，三七这垃圾被打入冷宫,消极
finfe321,与美的开启40+的差距，真心祝福差距越来越大，美的好实施并购方案！！！！,积极
finfe480,快下来，我要上车,消极
finfe77,水泥干什么了。赚的是纸吗？,消极
finfe1107,突破不了，走人了,消极
finfe494,三七，我觉得庄稼故意的。,中性
finfe1276,今天要跌到6%以上，再不跑来不及了,消极
finfe1487,这股是典型的好团队好公司烂桩狗13股东,消极
finfe751,这种票涨妹也买，盈利基本靠外销，这样的国情可想而知，还有市场的方向热门五年规划已经指出，她能拿两个月，佩服她，算是上了一课吧,中性
finfe1570,拉尔夫呢？割了？,消极
finfe1187,航空航天板块趋势很好，继续持有！我说的航空航天不是军工！,积极
finfe1337,抓紧时间买吧！湖北股票去年一季度封城，基本没有开工，今年的一季度绝对比去年高好多，提前埋伏进去，等一季报业绩出来，开始数板,积极
finfe1528,众泰的4S店都摊明牌了，复工了。还不懂？,中性
finfe1391,一天涨，一天跌……割韭菜哪,消极
finfe985,看了这本书后心态好多了！这是一条长期主义之路，做时间的朋友，在合适的价位买入伟大的公司并长期持有。时间玫瑰,积极
finfe60,特则发克儿！张婷今天来了拿住筹码加仓,积极
finfe308,换手率长期百分之0.25。没有人卖,中性
finfe272,周六晚上公告业绩若远不及预期0.4774元/股，如果是3毛业绩，至少五连板。仅参考。,积极
finfe479,海底捞国光连锁,中性
finfe1601,可以暂时离场了。,消极
finfe1346,原油期货大涨，明天高开涨停了,积极
finfe1312,大国制造，走向全球化，勇夺桂冠，玻纤龙一股加油！,积极
finfe277,被仙姐忽悠进来的，就没涨过！垃圾！,消极
finfe1658,今天居然是13.2买入的，现在买不香吗，本来想着今天有五个点呢,积极
finfe1818,涨的时候没份，跌的时候比谁都快。,消极
finfe1043,11.52全抛了，折损大洋1888，11元见,消极
finfe1846,"上涨空间异常巨大，中铁装配的潜力非常巨大,要走的很牛啊",积极
finfe1080,长期持有。必有回报。3/5倍都不算多,积极
finfe30,"""致自己，跟对人，走对路，做对事，说对话！感谢静姐",中性
finfe774,比亚迪不涨，你不敢涨，躲在后面追尾巴,消极
finfe924,喝酒吃药样样有，看好你！辅仁药酒！！！,积极
finfe900,宁波海运，主力，你牛，这样都让你板了，我是小明，玩航空运输的三大公司股，下跌3%以后可吸纳。东航，国航。,中性
finfe1629,这是打压到什么时候才会结束呀,消极
finfe664,不锈钢期货涨停了,积极
